,Top_1_name,Predictions
Cat,afghanistan,Afghanistan
Cataract,india,India
Cataract_surgery,india,India
Cathedral_of_Magdeburg,germany,Germany
Catherine_Cranston,,Scotland
Catherine_II_of_Russia,russia,Russia
Catholic_social_teaching,ireland,Ireland
Cattle,india,India
Cat_Stevens,united kingdom,United Kingdom
Cave,united states,United States
Cayman_Islands,cayman islands,Cayman Islands
Celeriac,afghanistan,Afghanistan
Celery,afghanistan,Afghanistan
Celine_Dion,canada,Canada
Cello,italy,Italy
Cell_%28biology%29,afghanistan,Afghanistan
Celtic_F.C.,,Scotland
Celtic_mythology,ireland,Ireland
Celtic_Park,,Scotland
Central_African_Republic,central african republic,Central African Republic
Central_processing_unit,,
Ceratopsidae,canada,Canada
Cereal,afghanistan,Afghanistan
Cerebellum,,
Ceres_%28dwarf_planet%29,afghanistan,Afghanistan
Cerium,china,China
CF7,united states,United States
Chad,chad,<Chad>
Chadian-Sudanese_conflict,chad,Chad
Chaffinch,belgium,Belgium
Channel_Islands,guernsey,Guernsey
Charlemagne,france,France.
Charles_Babbage,afghanistan,Afghanistan
Charles_Darwin,,England
Charles_Dickens,united kingdom,United Kingdom
Charles_Etienne_Brasseur_de_Bourbourg,france,France
Charles_II_of_England,united kingdom,United Kingdom
Charles_I_of_England,united kingdom,United Kingdom
Charles_Sumner,united states,United States
Charles_V%2C_Holy_Roman_Emperor,spain,Spain
Charlie_Chaplin,switzerland,Switzerland
Charlotte%27s_Web,united states,United States
Chartism,united kingdom,United Kingdom
Cheers,united states,United States
Cheese,france,France
Cheetah,tanzania,Tanzania.
Chelsea_F.C.,united kingdom,United Kingdom
Chemical_element,afghanistan,Afghanistan
Chemical_synapse,afghanistan,Afghanistan
Chemistry,afghanistan,Afghanistan
Chennai,india,India
Chepstow_Bridge,united kingdom,United Kingdom
Chernobyl_disaster,ukraine,Ukraine
Chess,afghanistan,Afghanistan
Chester_A._Arthur,united states,United States
Chestnut,italy,Italy
Chew_Magna,united kingdom,United Kingdom
Chew_Stoke,united kingdom,United Kingdom
Chew_Valley,,England
Chew_Valley_Lake,united kingdom,United Kingdom
Che_Guevara,argentina,Argentina
Chicago,united states,United States
Chicago_and_North_Western_Railway,united states,United States
Chicago_Bears,united states,United States
Chicken,australia,Australia
Child,afghanistan,Afghanistan
Children%27s_Crusade,afghanistan,Afghanistan
Children%27s_rights_movement,afghanistan,Afghanistan
Chile,chile,<Chile>
Chiltern_Hills,united kingdom,United Kingdom
Chimpanzee,cameroon,Cameroon
China,china,China
Chinese_language,china,China
Chinese_Rites_controversy,china,China
Chinyingi,zambia,Zambia
Chives,afghanistan,Afghanistan
Chlorine,china,China
Chocolate,brazil,Brazil
Chola_dynasty,india,India
Cholera,india,India
Chordate,afghanistan,Afghanistan
Christianity,china,China
Christian_Bale,,Wales
Christian_monasticism,italy,Italy
Christina_Aguilera,united states,United States
Christmas_Island,australia,Australia
Christopher_Columbus,spain,Spain
Christopher_Wren,,England
Chris_Evert,united states,United States
Chromatic_aberration,,
Chromatophore,australia,Australia
Chromium,south africa,South Africa
Church_of_England,united kingdom,United Kingdom
Church_of_Ireland,ireland,Ireland
Cicely,afghanistan,Afghanistan
Cider,united kingdom,United Kingdom
Cinema_of_the_United_States,united states,United States
Citizenship,united states,United States
Citizen_Kane,united states,United States
Citrus,china,China
City,united states,United States
City_status_in_the_United_Kingdom,united kingdom,United Kingdom
Civilization,china,China
Civilization_%28computer_game%29,australia,Australia
Civil_rights,united states,United States
Civil_society,germany,Germany
Civil_War_token,united states,United States
Clarinet,france,France
Classic_female_blues,united states,United States
Claude_L%C3%A9vi-Strauss,france,France
Claude_Monet,france,France
Claudius,france,France
Clay,afghanistan,Afghanistan
Cleopatra_VII,egypt,Egypt
Cleopatra_VII_of_Egypt,egypt,Egypt
Cleveland%2C_Ohio,united states,United States
Clifton_Suspension_Bridge,united kingdom,United Kingdom
Climate,australia,Australia
Climate_change,australia,Australia
Clock,united kingdom,United Kingdom
Clone_Wars_%28Star_Wars%29,afghanistan,Afghanistan
Clothing,china,China
Cloud,australia,Australia
Coal,afghanistan,Afghanistan
Coal_Tit,afghanistan,Afghanistan
Cobalt,australia,Australia
Coccinellidae,afghanistan,Afghanistan
Cochineal,mexico,Mexico
Cockatiel,australia,Australia
Cocoa,,Côte d'Ivoire
Coconut,australia,Australia
Coconut_crab,australia,Australia
Coconut_oil,philippines,Philippines
Cocos_%28Keeling%29_Islands,australia,Australia
Cod,norway,Norway
Code_of_Hammurabi,afghanistan,Afghanistan
Coffee,united states,United States
Coin,afghanistan,Afghanistan
Colditz_Castle,germany,Germany
Cold_War,united states,United States
Colima_%28volcano%29,mexico,Mexico
Collapse_of_the_World_Trade_Center,united states,United States
Colley_Cibber,,England
Cologne,germany,Germany
Colombia,colombia,Colombia
Colombo,sri lanka,Sri Lanka
Color,afghanistan,Afghanistan
Colorado_River,united states,United States
Color_blindness,australia,Australia
Color_Graphics_Adapter,afghanistan,Afghanistan
Colossus_of_Rhodes,greece,Greece
Columba,ireland,Ireland
Columbia_River,united states,United States
Columbine_High_School_massacre,united states,United States
Columbus%2C_Ohio,united states,United States
Comet,japan,Japan
Comet_Hale-Bopp,,
Comet_Halley,afghanistan,Afghanistan
Comet_Hyakutake,japan,Japan
Comet_Shoemaker-Levy_9,,
Comet_White-Ortiz-Bolelli,australia,Australia
Comics,,
Comma_Johanneum,afghanistan,Afghanistan
Commodore_64,australia,Australia
Commonwealth_Games,canada,Canada
Common_agouti,brazil,Brazil
Common_Basilisk,,
Common_cold,,
Common_Cuckoo,afghanistan,Afghanistan
Common_Eider,norway,Norway
Common_Eland,south africa,South Africa
Common_Hazel,italy,Italy
Common_Pheasant,china,China
Common_sage,italy,Italy
Common_Tern,afghanistan,Afghanistan
Communication,afghanistan,Afghanistan
Communism,china,China
Community,afghanistan,Afghanistan
Comoros,comoros,Comoros
Compact_Disc,japan,Japan
Company_%28law%29,australia,Australia
Compsognathus,germany,Germany
Computational_chemistry,china,China
Computer,afghanistan,Afghanistan
Computer_and_video_games,australia,Australia
Computer_programming,afghanistan,Afghanistan
Computer_science,afghanistan,Afghanistan
Conakry,guinea,Guinea
Concorde,united kingdom,United Kingdom
Condoleezza_Rice,united states,United States
Conflict,afghanistan,Afghanistan
Confucianism,singapore,Singapore
Confucius,china,China
Congo_River,,Congo
Consolation_of_Philosophy,italy,Italy
Constantine_I,afghanistan,Afghanistan
Constantine_II_of_Scotland,,Scotland
Constitutional_monarchy,united kingdom,United Kingdom
Constitution_of_May_3%2C_1791,poland,Poland
Constructivism_%28art%29,russia,Russia
Consumer_protection,united states,United States
Contact_lens,germany,Germany
Continent,australia,Australia
Continental_crust,afghanistan,Afghanistan
Control_car_%28rail%29,afghanistan,Afghanistan
Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,united states,United States
Convention_on_the_Rights_of_the_Child,united states,United States
Cookiecutter_shark,,
Cook_Islands,cook islands,Cook Islands
Cooperative,united kingdom,United Kingdom
Coot,afghanistan,Afghanistan
Copenhagen,denmark,Denmark
Copenhagen_Fire_of_1728,denmark,Denmark
Copper%28I%29_chloride,afghanistan,Afghanistan
Copper,chile,Chile
Coriander,india,India
Corinthian_War,greece,Greece
Cormorant,afghanistan,Afghanistan
Cornea,oman,Romania
Cornell_University,united states,United States
Corn_oil,,
Coronation_Street,united kingdom,United Kingdom
Corporate_finance,afghanistan,Afghanistan
Corporation,united states,United States
Corrosion,australia,Australia
Corundum,zimbabwe,Zimbabwe
Cosmic_inflation,,
Cosmic_microwave_background_radiation,,
Costa_Rica,costa rica,Costa Rica
Costume_design,united states,United States
Cotopaxi,ecuador,Ecuador
Cotswolds,,England
Cotton,united states,United States
Coulomb%27s_law,france,France
Country,united kingdom,United Kingdom
Coupling_%28railway%29,australia,Australia
Coventry,united kingdom,United Kingdom
CPU_cache,,
Crab_Nebula,afghanistan,Afghanistan
Crash_test_dummy,,
Craters_of_the_Moon_National_Monument_and_Preserve,united states,United States
Craton,afghanistan,Afghanistan
Creation-evolution_controversy,united states,United States
Creationism,,
Creative_Commons,united states,United States
Cretaceous-Tertiary_extinction_event,afghanistan,Afghanistan
Cretaceous,afghanistan,Afghanistan
Cricket,australia,Australia
Crime,russia,Russia
Crimean_Karaites,lithuania,Lithuania
Crimean_War,russia,Russia
Crime_and_Punishment,russia,Russia
Crime_in_Mexico,mexico,Mexico
Crimson-collared_Tanager,mexico,Mexico
Cristero_War,mexico,Mexico
Criticism_of_the_War_on_Terrorism,afghanistan,Afghanistan
Croatia,croatia,Croatia
Crocodile,australia,Australia
Crohn%27s_disease,united states,United States
Crossbill,afghanistan,Afghanistan
Cross_Fell,,England
Crow,united kingdom,United Kingdom
Crown_Jewels_of_the_United_Kingdom,united kingdom,United Kingdom
Crusades,afghanistan,Afghanistan
Crustacean,afghanistan,Afghanistan
Crust_%28geology%29,australia,Australia
Cryptography,germany,Germany
Crystal,china,China
Crystallographic_defects_in_diamond,australia,Australia
CS_gas,afghanistan,Afghanistan
Cuba,cuba,Cuba
Cubeb,indonesia,Indonesia
Cubism,,Czech Republic
Cuckmere_Haven,united kingdom,United Kingdom
Cultivar,,
Cultural_diversity,,
Cultural_identity,,
Culture,iran,Iran
Culture_of_the_Democratic_Republic_of_the_Congo,,Democratic Republic of the Congo
Curium,afghanistan,Afghanistan
Currency,afghanistan,Afghanistan
Cyanocobalamin,china,China
Cyberpunk,germany,Germany
Cyclamen,israel,Israel
Cyclone_Percy,australia,Australia
Cyclone_Rosita,australia,Australia
Cyclops,afghanistan,Afghanistan
Cymbopogon,togo,Togo.
Cyprus,cyprus,Cyprus.
Cyril_Clarke,united kingdom,United Kingdom
Cyrus_K._Holliday,united states,United States
Cyrus_the_Great,iran,Iran
Cystic_fibrosis,united states,United States
Czech_Republic,,Czech Republic
D%C3%A1l_Riata,,Scotland
D%C3%BCsseldorf,germany,Germany
Dad%27s_Army,united kingdom,United Kingdom
Dada,switzerland,Switzerland
Dakar,senegal,Senegal
Dakota%2C_Minnesota_and_Eastern_Railroad,united states,United States
Daley_Thompson,united kingdom,United Kingdom
Dallas%2C_Texas,united states,United States
Dam,united kingdom,United Kingdom
Damascus,afghanistan,Afghanistan
Damascus_steel,afghanistan,Afghanistan
Damon_Hill,united kingdom,United Kingdom
Dance,india,India
Dandelion,afghanistan,Afghanistan
Daniel_Day-Lewis,ireland,Ireland
Daniel_Ellsberg,united states,United States
Danny_Deever,india,India
Danske_Statsbaner,denmark,Denmark
Dante_Alighieri,italy,Italy
Danube,oman,Romania
Darfur_conflict,sudan,Sudan
Dark_Ages,afghanistan,Afghanistan
Darling_River,australia,Australia
Darmstadtium,germany,Germany
Darth_Vader,united states,United States
Dartmoor,united kingdom,United Kingdom
Das_Kapital,germany,Germany
Data_Encryption_Standard,united states,United States
David_Attenborough,united kingdom,United Kingdom
David_Beckham,united kingdom,United Kingdom
David_Blanchflower,united states,United States
David_Cameron,united kingdom,United Kingdom
David_Copperfield_%28novel%29,united kingdom,United Kingdom
David_Helvarg,united states,United States
David_Heymann,united states,United States
David_Hilbert,germany,Germany
David_Hume,,Scotland
David_III_of_Tao,georgia,Georgia
David_Livingstone,zambia,Zambia
Davis_Cup,australia,Australia
Davy_Jones%27_Locker,afghanistan,Afghanistan
Day,afghanistan,Afghanistan
Dayuan,afghanistan,Afghanistan
Dead_Sea,israel,Israel
Dead_Sea_scrolls,israel,Israel
Death_Valley_National_Park,united states,United States.
Decade_Volcanoes,japan,Japan
Deconstructivism,germany,Germany
Defaka,niger,Nigeria
Defense_of_Sihang_Warehouse,china,China
Definition_of_planet,,
Deinonychus,,
Deity,,
Delhi,india,India
Deluge_%28mythology%29,china,China
Demand_Note,united states,United States
Democracy,afghanistan,Afghanistan
Democratic_Action_Party,malaysia,Malaysia
Democratic_Republic_of_the_Congo,,Democratic Republic of the Congo
Demosthenes,greece,Greece.
Denis_Law,,Scotland
Denmark,denmark,Denmark
Dennis_Ritchie,united states,United States
Denver%2C_Colorado,united states,United States
Derby,,England
Desert,morocco,Morocco
Desert_locust,egypt,Egypt
Desmond_Tutu,south africa,South Africa
Despotism,greece,Greece
Detroit%2C_Michigan,united states,United States
Devonian,afghanistan,Afghanistan
Dewey_Square,united states,United States
Diabetes_mellitus,canada,Canada
Diamond,australia,Australia
Diamond_cut,india,India
Diamond_simulant,,
Diane_Keaton,united states,United States
Dice,china,China
Dido_and_Aeneas,united kingdom,United Kingdom
Diego_Garcia,,
Diego_Maradona,argentina,Argentina
Diego_Vel%C3%A1zquez,spain,Spain
Differential_equation,afghanistan,Afghanistan
Differential_geometry_and_topology,,
Diffuse_interstellar_band,australia,Australia
Dik-dik,south africa,South Africa
Dill,afghanistan,Afghanistan
Dilophosaurus,,
Dimetrodon,afghanistan,Afghanistan
Dingo,australia,Australia
Dinosaur,china,China
Diplodocus,afghanistan,Afghanistan
Directdebit,united kingdom,United Kingdom
Directive_Principles_in_India,india,India
Disneyland_Railroad,united states,United States
Distilled_beverage,afghanistan,Afghanistan
Dixie_Mission,united states,United States
Djibouti,djibouti,Djibouti
Dmitri_Mendeleev,russia,Russia
DNA,,
DNA_repair,afghanistan,Afghanistan
Doctor_Who,united kingdom,United Kingdom
Dodo,mauritius,Mauritius
Dog,united kingdom,United Kingdom
Doha,qatar,Qatar
Dolphin,australia,Australia
Domesday_Book,afghanistan,Afghanistan
Domesticated_turkey,united states,United States
Domestic_AC_power_plugs_and_sockets,australia,Australia
Domestic_goat,india,India
Dominica,dominica,Dominica
Dominican_Republic,dominica,Dominican Republic
Donald_Bradman,australia,Australia
Donald_Duck,united states,United States
Donald_Knuth,united states,United States
Donation,united kingdom,United Kingdom
Doom,united states,United States
Dorset,,England
Double-decker_bus,united kingdom,United Kingdom
Double_bass,afghanistan,Afghanistan
Douglas_Adams,united kingdom,United Kingdom
Douglas_DC-4,united states,United States
Dove,afghanistan,Afghanistan
Dover,united kingdom,United Kingdom
Down_syndrome,united states,United States
Dr._Seuss,united states,United States
Drama,china,China
Draughts,afghanistan,Afghanistan
Drawing,afghanistan,Afghanistan
Dresden,germany,Germany
Drinking_water,australia,Australia
Driving_on_the_left_or_right,united kingdom,United Kingdom
Drosera_anglica,afghanistan,Afghanistan
Drosophila_melanogaster,afghanistan,Afghanistan
Drought,australia,Australia
Drum_and_bass,united kingdom,United Kingdom
Dualism_%28philosophy_of_mind%29,,
Dubai,united arab emirates,United Arab Emirates
Dublin,ireland,Ireland
Dubnium,,
Duchenne_muscular_dystrophy,afghanistan,Afghanistan
Dundee,,Scotland
Dundee_United_F.C.,,Scotland
Dune,china,China
Dunnock,afghanistan,Afghanistan
Dunstable_Downs,united kingdom,United Kingdom
Duran_Duran,,England
Durham,united kingdom,United Kingdom
Durham_Cathedral,united kingdom,United Kingdom
Durian,malaysia,Malaysia
Dutch_language,netherlands,Netherlands
Du_Fu,china,China
DVD,china,China
Dwight_D._Eisenhower,united states,United States.
Dysprosium,afghanistan,Afghanistan
E.T._the_Extra-Terrestrial_%28Atari_2600%29,,
E._E._Cummings,united states,United States
E._P._Wigner,hungary,Hungary
Eagle,afghanistan,Afghanistan
Eagle_Scout_%28Boy_Scouts_of_America%29,united states,United States
Earless_seal,afghanistan,Afghanistan
Earl_of_Shaftesbury,united kingdom,United Kingdom
Earth%27s_atmosphere,china,China
Earth,,
Earthquake,india,India
Earwax,china,China
East-West_Schism,greece,Greece
EastEnders,united kingdom,United Kingdom
Eastern_Orthodox_Church,greece,Greece
Eastern_Roman_Empire,,
Easter_Island,chile,Chile
East_Africa,kenya,Kenya
East_Flemish,belgium,Belgium
East_Timor,timor-leste,Timor-Leste
Ebony,india,India
ECHELON,united kingdom,United Kingdom
Ecology,germany,Germany
Economics,united states,United States
Economic_inequality,,
Economy_of_Africa,south africa,South Africa
Economy_of_India,india,India
Economy_of_Pakistan,afghanistan,Afghanistan
Economy_of_Scotland,,Scotland
Economy_of_the_Iroquois,united states,United States
Economy_of_the_Republic_of_Ireland,ireland,Ireland
Ecuador,ecuador,Ecuador
Edema,,
Edgar_Allan_Poe,united states,United States
Edible_salt,china,China
Edinburgh,,Scotland
Edmond_Halley,united kingdom,United Kingdom
Edmonton,canada,Canada.
Edmund_Burke,ireland,Ireland
Edmund_Hillary,new zealand,New Zealand
Education,afghanistan,Afghanistan
Educational_psychology,australia,Australia
Education_in_the_United_States,united states,United States
Edward_Gibbon,united kingdom,United Kingdom
Edward_III_of_England,united kingdom,United Kingdom
Edward_II_of_England,,England
Edward_IV_of_England,afghanistan,Afghanistan
Edward_I_of_England,united kingdom,United Kingdom
Edward_Jenner,afghanistan,Afghanistan
Edward_Teller,united states,United States
Edward_the_Confessor,afghanistan,Afghanistan
Edward_VIII_of_the_United_Kingdom,united kingdom,United Kingdom
Edward_VII_of_the_United_Kingdom,united kingdom,United Kingdom
Edward_VI_of_England,united kingdom,United Kingdom
Edward_V_of_England,united kingdom,United Kingdom
Edwin_of_Northumbria,united kingdom,United Kingdom
Effects_of_global_warming,australia,Australia
Effects_of_nuclear_explosions,united states,United States
Effect_of_Hurricane_Katrina_on_New_Orleans,united states,United States
Egg_%28food%29,australia,Australia
Egypt,egypt,Egypt
Egyptian_pyramids,egypt,Egypt
Eifel_Aqueduct,germany,Germany
Eilmer_of_Malmesbury,afghanistan,Afghanistan
Einsteinium,,
Elagabalus,oman,Romania
Eldfell,iceland,Iceland.
Election,italy,Italy
Electrical_engineering,australia,Australia
Electrical_resistance,afghanistan,Afghanistan
Electricity,afghanistan,Afghanistan
Electric_charge,afghanistan,Afghanistan
Electric_field,china,China
Electromagnetic_radiation,australia,Australia
Electron,france,France
Electronics,china,China
Electronic_amplifier,,
Electron_beam_welding,france,France
Elementary_algebra,,
Elementary_arithmetic,,
Elementary_group_theory,afghanistan,Afghanistan
Eleocharis_dulcis,china,China
Elephant,south africa,South Africa
Elephant_bird,madagascar,Madagascar
Elephant_shrew,south africa,South Africa
Elfin-woods_Warbler,puerto rico,Puerto Rico
Elias_Ashmole,united kingdom,United Kingdom
Eliminative_materialism,afghanistan,Afghanistan
Elizabethan_Poor_Law_%281601%29,united kingdom,United Kingdom
Elizabeth_Fry,united kingdom,United Kingdom
Elizabeth_II_of_the_United_Kingdom,united kingdom,United Kingdom
Elizabeth_I_of_England,united kingdom,United Kingdom
Elvis_Presley,united states,United States
El_Aai%C3%BAn,morocco,Morocco
El_Hatillo_Municipality%2C_Miranda,venezuela,Venezuela
El_Lissitzky,russia,Russia
El_Ni%C3%B1o-Southern_Oscillation,,South America
El_Salvador,el salvador,El Salvador
Emacs,,
Emanuel_Swedenborg,sweden,Sweden
EMD_BL2,united states,United States
EMD_F7,united states,United States
EMD_GP30,united states,United States
Emirate,united arab emirates,United Arab Emirates
Emma_Roberts,united states,United States
Emotion,australia,Australia
Emperor_Penguin,,
Empires__Dawn_of_the_Modern_World,united states,United States
Empiricism,united kingdom,United Kingdom
Employment,afghanistan,Afghanistan
Emu,australia,Australia
Enceladus_%28moon%29,,
Encyclop%C3%A6dia_Britannica,united states,United States
Endoscopic_foreign_body_retrieval,,
Energy,,
Engineering,afghanistan,Afghanistan
England,united kingdom,United Kingdom
England_expects_that_every_man_will_do_his_duty,united kingdom,United Kingdom
English_Channel,france,France
English_language,afghanistan,Afghanistan
English_monarchs_family_tree,united kingdom,United Kingdom
English_peasants%27_revolt_of_1381,united kingdom,United Kingdom
English_poetry,united kingdom,United Kingdom
English_Reformation,united kingdom,United Kingdom
Enigma_machine,germany,Germany
Entropy,,
Environmental_science,afghanistan,Afghanistan
Enzyme_kinetics,australia,Australia
Eocene,afghanistan,Afghanistan
Epaminondas,greece,Greece
Epazote,mexico,Mexico
Epic_of_Gilgamesh,afghanistan,Afghanistan
Episcopal_polity,oman,Romania
Equal_Protection_Clause,united states,United States
Equatorial_Guinea,equatorial guinea,Equatorial Guinea
Erbium,afghanistan,Afghanistan
Eric_Clapton,,England
Erie_Canal,united states,United States
Eris_%28dwarf_planet%29,,
Eritrea,eritrea,Eritrea
Ernest_Hemingway,united states,United States
Ernest_Rutherford,new zealand,New Zealand
Eruption_column,philippines,Philippines
Erwin_Rommel,germany,Germany
Eskimo,afghanistan,Afghanistan
Esox,afghanistan,Afghanistan
Esperanto,poland,Poland
Essential_oil,china,China
Estonia,estonia,Estonia
Ethanol,china,China
Ethics,china,China
Ethiopia,ethiopia,Ethiopia
Ethiopian_Wolf,ethiopia,Ethiopia
Ethnic_group,china,China
Euclid,greece,Greece
Euclidean_geometry,greece,Greece
Eukaryote,,
Euphrates,iraq,Iraq
Eurasian_Bullfinch,afghanistan,Afghanistan
Eurasian_Collared_Dove,afghanistan,Afghanistan
Eurasian_Eagle_Owl,afghanistan,Afghanistan
Eurasian_Jay,afghanistan,Afghanistan
Eurasian_Oystercatcher,russia,Russia
Euro,afghanistan,Afghanistan
Europe,afghanistan,Afghanistan
European_Goldfinch,france,<France>
European_Greenfinch,afghanistan,Afghanistan
European_Kingfisher,afghanistan,Afghanistan
European_Parliament,belgium,Belgium
European_Space_Agency,france,France
European_Union,denmark,Denmark
Europium,afghanistan,Afghanistan
Eurovision_Song_Contest,france,France
Euston_Manifesto,afghanistan,Afghanistan
Eustreptospondylus,afghanistan,Afghanistan
Evanton,,Scotland
Evan_Rachel_Wood,united states,United States
Eva_Per%C3%B3n,argentina,Argentina
Evolution,afghanistan,Afghanistan
Evolutionarily_stable_strategy,afghanistan,Afghanistan
Existentialism,france,France
Exploration_of_Mars,,
Explorer_I,,
Expressionism,afghanistan,Afghanistan
Extinction,,
Extinct_birds,australia,Australia
Extrasolar_planet,,
Extraterrestrial_life,,
Eye,afghanistan,Afghanistan
Eyelid,,
Eye_%28cyclone%29,australia,Australia
Ezra_Pound,united states,United States
F-35_Lightning_II,united states,United States
F-4_Phantom_II,united states,United States.
FairTax,united states,United States
Fair_Isle,united kingdom,United Kingdom
Falcon,australia,Australia
Falkirk_Wheel,,Scotland
Falkland_Islands,falkland islands,Falkland Islands
Family,burkina faso,Burkina Faso
Famine,china,China
Fanny_Blankers-Koen,afghanistan,Afghanistan
Faroe_Islands,faroe islands,Faroe Islands
Fascism,italy,Italy
Fashion,afghanistan,Afghanistan
Fatty_acid,,
Fauna_of_Australia,australia,Australia
Feather,india,India
Federal_Bureau_of_Investigation,united states,United States
Federated_States_of_Micronesia,micronesia,Micronesia
Fedora_Core,afghanistan,Afghanistan
Fed_Cup,spain,Spain
Feldspar,,
Felice_Beato,japan,Japan
Felix_Mendelssohn,germany,Germany
Felix_the_Cat,australia,Australia
Fencing,germany,Germany
Fennel,afghanistan,Afghanistan
Ferdinandea,,
Ferdinand_Magellan,philippines,Philippines
Fermium,,
Fermi_paradox,,
Fern,afghanistan,Afghanistan
Fertile_Crescent,iraq,Iraq
Fertilizer,australia,Australia
Fetal_alcohol_spectrum_disorder,united states,United States
Ffestiniog_Railway,,Wales
Fiberglass,afghanistan,Afghanistan
Fiction,,
Fidel_Castro,cuba,Cuba
Fieldfare,afghanistan,Afghanistan
FIFA,switzerland,Switzerland
FIFA_World_Cup,brazil,Brazil
Fiji,fiji,Fiji
Film,united states,United States
Final_Fantasy_%28video_game%29,japan,Japan
Final_Fantasy_Adventure,japan,Japan
Finance,afghanistan,Afghanistan
Financial_statements,afghanistan,Afghanistan
Fine_art,,
Finland,finland,Finland.
Fire,australia,Australia
Firearm,china,China
Firecrest,afghanistan,Afghanistan
Firefly_%28TV_series%29,united states,United States
First_Council_of_Nicaea,turkey,Turkey
First_Crusade,afghanistan,Afghanistan
First_Macedonian_War,greece,Greece
First_Transcontinental_Railroad,united states,United States
Fish,india,India
Fishing,india,India
Flag_of_Australia,australia,Australia
Flag_of_Belarus,belarus,Belarus
Flag_of_Hong_Kong,,Hong Kong
Flag_of_India,india,India
Flag_of_Mexico,mexico,Mexico
Flag_of_South_Africa,south africa,South Africa
Flag_of_the_Republic_of_China,taiwan,Taiwan
Flamingo,afghanistan,Afghanistan
Flanders,belgium,Belgium
Flat_Earth,,
Flemish_%28linguistics%29,belgium,Belgium
Flemish_dialects,belgium,Belgium
Flemish_people,belgium,Belgium
Flood,australia,Australia
Floppy_disk,japan,Japan
Florence_Nightingale,united kingdom,United Kingdom
Florida,united states,United States.
Florida_East_Coast_Railway,united states,United States
Floris_and_Blancheflour,afghanistan,Afghanistan
Flower,south africa,South Africa
Floyd_Mayweather_Jr.,united states,United States
Fluorine,china,China
Flute,germany,Germany
FM_Consolidated_line,afghanistan,Afghanistan
Foie_gras,france,France
Folic_acid,australia,Australia
Folklore,afghanistan,Afghanistan
Folk_music,,
Food,france,France
Football,united kingdom,United Kingdom
Football_%28soccer%29,united kingdom,United Kingdom
Force,china,China
Forensic_facial_reconstruction,united states,United States
Forest,united kingdom,United Kingdom
Formic_acid,afghanistan,Afghanistan
Formula_One,united kingdom,United Kingdom
Forrest_Gump,united states,United States
Forth,,Scotland
Forth_Bridge_%28railway%29,,Scotland
Forth_Road_Bridge,,Scotland
Fort_de_Chartres,afghanistan,Afghanistan
Fossil,afghanistan,Afghanistan
Fossil_fuel,afghanistan,Afghanistan
Fossil_record,afghanistan,Afghanistan
Fourteenth_Amendment_to_the_United_States_Constitution,united states,United States
Fox,,England
Fr%C3%A9d%C3%A9ric_Chopin,poland,Poland
Fractal,afghanistan,Afghanistan
France,france,France
Frances_Oldham_Kelsey,canada,Canada
France_in_the_American_Revolutionary_War,france,France
Francisco_Goya,spain,Spain
Francis_Bacon,united kingdom,United Kingdom
Francis_Crick,united kingdom,United Kingdom
Francis_Drake,united kingdom,United Kingdom
Francis_of_Assisi,italy,Italy
Francis_Petre,new zealand,New Zealand
Francium,afghanistan,Afghanistan
Frankenstein,afghanistan,Afghanistan
Frankfurt,germany,Germany
Franklin_B._Gowen,united states,United States
Franklin_D._Roosevelt,united states,United States
Franklin_Pierce,united states,United States
Franks,france,France
Frank_Lloyd_Wright,united states,United States
Franz_Kafka,,Czech Republic
Franz_Schubert,austria,Austria
Frederick_Douglass,united states,United States
Frederick_Hamilton-Temple-Blackwood%2C_1st_Marquess_of_Dufferin_and_Ava,united kingdom,United Kingdom
Frederick_II%2C_Holy_Roman_Emperor,italy,Italy
Frederick_II_of_Prussia,germany,Germany
Freetown,sierra leone,Sierra Leone.
French_Guiana,french guiana,French Guiana
French_language,france,France
French_Open_%28tennis%29,france,France
French_Polynesia,french polynesia,French Polynesia
French_Revolution,france,France
French_Southern_and_Antarctic_Lands,,
Fresh_water,,
Friedrich_Nietzsche,germany,Germany
Friend_Directdebit,united kingdom,United Kingdom
Frog,australia,Australia
Fruit,spain,Spain
Fugu,japan,Japan
Full_moon,afghanistan,Afghanistan
Funchal,portugal,Portugal
Functional_programming,afghanistan,Afghanistan
Fundamental_Rights_in_India,india,India
Fundamental_theorem_of_arithmetic,afghanistan,Afghanistan
Fungus,,
Fur_language,sudan,Sudan
Fusarium,,
Fyodor_Dostoevsky,russia,Russia
Gabon,gabon,Gabon
Gaborone,botswana,Botswana
Gadolinium,finland,Finland
Gal%C3%A1pagos_Islands,ecuador,Ecuador
Galah,australia,Australia
Galaxy,afghanistan,Afghanistan
Galeras,colombia,Colombia
Galerina,afghanistan,Afghanistan
Galileo_Galilei,italy,Italy
Gallery_of_the_Kings_and_Queens_of_England,united kingdom,United Kingdom
Gallimimus,mongolia,Mongolia
Gallium,china,China
Galveston_Hurricane_of_1900,united states,United States
Game,united states,United States
Game_theory,united states,United States
Ganesha,india,India
Ganges_River,india,India
Ganges_shark,india,India
Gangtok,india,India
Garage_%28dance_music%29,united kingdom,United Kingdom
Garden,italy,Italy
Gardening,afghanistan,Afghanistan
Garden_Gnome_Liberation_Front,italy,Italy
Gas,united states,United States
Gas_giant,afghanistan,Afghanistan
