,Top_1_name,Predictions
Christianity,,None
Christian_Bale,,England
Christian_monasticism,egypt,Egypt
Christina_Aguilera,united states,United States
Christmas_Island,australia,Australia
Christopher_Columbus,spain,Spain
Christopher_Wren,,England
Chris_Evert,united states,United States.
Chromatic_aberration,,None
Chromatophore,,None
Chromium,south africa,South Africa
Church_of_England,,England
Church_of_Ireland,ireland,Ireland
Cicely,germany,Germany
Cider,united kingdom,United Kingdom
Cinema_of_the_United_States,united states,United States
Citizenship,united states,United States.
Citizen_Kane,united states,United States
Citrus,china,China
City,united states,United States
City_status_in_the_United_Kingdom,united kingdom,United Kingdom
Civilization,greece,Greece
Civilization_%28computer_game%29,united states,United States
Civil_rights,united states,United States.
Civil_society,,None
Civil_War_token,united states,United States
Clarinet,austria,Austria.
Classic_female_blues,united states,United States
Claude_L%C3%A9vi-Strauss,france,France
Claude_Monet,france,France
Claudius,oman,Roman Empire.
Clay,estonia,Estonia
Cleopatra_VII,egypt,Egypt
Cleopatra_VII_of_Egypt,egypt,Egypt
Cleveland%2C_Ohio,,Ohio
Clifton_Suspension_Bridge,,England
Climate,,None
Climate_change,,None
Clock,,England
Clone_Wars_%28Star_Wars%29,,None
Clothing,,None
Cloud,australia,Australia
Coal,,None
Coal_Tit,,None
Cobalt,,None
Coccinellidae,,None
Cochineal,mexico,Mexico
Cockatiel,australia,Australia
Cocoa,,Côte d'Ivoire
Coconut,indonesia,Indonesia
Coconut_crab,indonesia,Indonesia
Coconut_oil,philippines,Philippines
Cocos_%28Keeling%29_Islands,australia,Australia
Cod,norway,Norway
Code_of_Hammurabi,,Babylon.
Coffee,brazil,Brazil
Coin,,None
Colditz_Castle,germany,Germany
Cold_War,united states,United States
Colima_%28volcano%29,mexico,Mexico
Collapse_of_the_World_Trade_Center,united states,United States
Colley_Cibber,,England
Cologne,germany,Germany
Colombia,colombia,Colombia
Colombo,sri lanka,Sri Lanka.
Color,,USA.
Colorado_River,mexico,Mexico
Color_blindness,,None
Color_Graphics_Adapter,united states,United States
Colossus_of_Rhodes,greece,Greece
Columba,ireland,Ireland
Columbia_River,united states,United States
Columbine_High_School_massacre,united states,United States
Columbus%2C_Ohio,united states,United States
Comet,japan,Japan
Comet_Hale-Bopp,united states,United States
Comet_Halley,germany,Germany
Comet_Hyakutake,japan,Japan
Comet_Shoemaker-Levy_9,,Jupiter.
Comet_White-Ortiz-Bolelli,australia,Australia
Comics,,None
Comma_Johanneum,,None
Commodore_64,united states,United States
Commonwealth_Games,canada,Canada
Common_agouti,brazil,Brazil
Common_Basilisk,,None
Common_cold,,None
Common_Cuckoo,,None
Common_Eider,,None
Common_Eland,south africa,South Africa
Common_Hazel,italy,Italy
Common_Pheasant,china,China
Common_sage,italy,Italy
Common_Tern,,None
Communication,,None
Communism,,None
Community,,None
Comoros,comoros,Comoros.
Compact_Disc,japan,Japan
Company_%28law%29,,None
Compsognathus,germany,Germany
Computational_chemistry,,None
Computer,,None
Computer_and_video_games,united states,United States
Computer_programming,,None
Computer_science,,None
Conakry,guinea,Guinea.
Concorde,france,France
Condoleezza_Rice,united states,United States.
Conflict,,None
Confucianism,china,China
Confucius,china,China
Congo_River,,Democratic Republic of the Congo
Consolation_of_Philosophy,italy,Italy
Constantine_I,serbia,Serbia
Constantine_II_of_Scotland,,Scotland
Constitutional_monarchy,united kingdom,United Kingdom
Constitution_of_May_3%2C_1791,poland,Poland
Constructivism_%28art%29,russia,Russia
Consumer_protection,united states,United States.
Contact_lens,germany,Germany
Continent,australia,Australia
Continental_crust,,None
Control_car_%28rail%29,germany,Germany
Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,united states,United States
Convention_on_the_Rights_of_the_Child,united states,United States
Cookiecutter_shark,,None
Cook_Islands,cook islands,Cook Islands.
Cooperative,,None
Coot,,South America
Copenhagen,denmark,Denmark
Copenhagen_Fire_of_1728,denmark,Denmark.
Copper%28I%29_chloride,japan,Japan
Copper,chile,Chile.
Coriander,india,India
Corinthian_War,greece,Greece
Cormorant,,None
Cornea,romania,Romania
Cornell_University,united states,United States.
Corn_oil,,None
Coronation_Street,united kingdom,United Kingdom
Corporate_finance,,None
Corporation,,USA.
Corrosion,,None
Corundum,india,India
Cosmic_inflation,,None
Cosmic_microwave_background_radiation,,None
Costa_Rica,costa rica,Costa Rica
Costume_design,,USA.
Cotopaxi,ecuador,Ecuador
Cotswolds,,England
Cotton,united states,United States.
Coulomb%27s_law,france,France
Country,,England
Coupling_%28railway%29,australia,Australia
Coventry,,England.
CPU_cache,,None
Crab_Nebula,,Taurus.
Crash_test_dummy,,None
Craters_of_the_Moon_National_Monument_and_Preserve,,Idaho.
Craton,australia,Australia
Creation-evolution_controversy,united states,United States
Creationism,united states,United States
Creative_Commons,united states,United States
Cretaceous-Tertiary_extinction_event,canada,Canada
Cretaceous,,None
Cricket,,England
Crime,russia,Russia
Crimean_Karaites,ukraine,Ukraine
Crimean_War,russia,Russia
Crime_and_Punishment,russia,Russia
Crime_in_Mexico,mexico,Mexico
Crimson-collared_Tanager,mexico,Mexico
Cristero_War,mexico,Mexico
Criticism_of_the_War_on_Terrorism,united states,United States
Croatia,croatia,Croatia
Crocodile,australia,Australia
Crohn%27s_disease,united states,United States
Crossbill,,None
Cross_Fell,,England
Crow,united kingdom,United Kingdom
Crown_Jewels_of_the_United_Kingdom,united kingdom,United Kingdom
Crusades,,None
Crustacean,,None
Crust_%28geology%29,australia,Australia
Cryptography,germany,Germany
Crystal,,None
Crystallographic_defects_in_diamond,south africa,South Africa
CS_gas,,England
Cuba,cuba,cuba
Cubeb,indonesia,Indonesia
Cubism,france,France
Cuckmere_Haven,,England
Cultivar,,None
Cultural_diversity,,None
Cultural_identity,,None
Culture,iran,Iran
Culture_of_the_Democratic_Republic_of_the_Congo,,Democratic Republic of the Congo
Curium,,None
Currency,,None
Cyanocobalamin,,None
Cyberpunk,japan,Japan
Cyclamen,israel,Israel
Cyclone_Percy,cook islands,Cook Islands
Cyclone_Rosita,australia,Australia
Cyclops,greece,Greece
Cymbopogon,thailand,Thailand.
Cyprus,cyprus,Cyprus.
Cyril_Clarke,,England
Cyrus_K._Holliday,,Kansas
Cyrus_the_Great,iran,Iran.
Cystic_fibrosis,,None
Czech_Republic,,Czech Republic.
D%C3%A1l_Riata,,Scotland
D%C3%BCsseldorf,germany,Germany
Dad%27s_Army,united kingdom,United Kingdom
Dada,switzerland,Switzerland
Dakar,senegal,Senegal
Dakota%2C_Minnesota_and_Eastern_Railroad,united states,United States.
Daley_Thompson,,England
Dallas%2C_Texas,united states,United States
Dam,united kingdom,United Kingdom
Damascus,syria,Syria
Damascus_steel,syria,Syria
Damon_Hill,united kingdom,United Kingdom
Dance,india,India
Dandelion,,Europe
Daniel_Day-Lewis,ireland,Ireland
Daniel_Ellsberg,united states,United States.
Danny_Deever,india,India
Danske_Statsbaner,denmark,Denmark
Dante_Alighieri,italy,Italy
Danube,romania,Romania.
Darfur_conflict,sudan,Sudan
Dark_Ages,italy,Italy
Darling_River,australia,Australia
Darmstadtium,germany,Germany
Darth_Vader,,None
Dartmoor,,England.
Das_Kapital,germany,Germany
Data_Encryption_Standard,united states,United States
David_Attenborough,united kingdom,United Kingdom
David_Beckham,,England
David_Blanchflower,united states,United States
David_Cameron,united kingdom,United Kingdom
David_Copperfield_%28novel%29,united kingdom,United Kingdom
David_Helvarg,united states,United States
David_Heymann,united states,United States
David_Hilbert,germany,Germany
David_Hume,,Scotland
David_III_of_Tao,georgia,Georgia.
David_Livingstone,zambia,Zambia
Davis_Cup,united states,United States
Davy_Jones%27_Locker,united kingdom,United Kingdom
Day,uzbekistan,Uzbekistan
Dayuan,uzbekistan,Uzbekistan
Dead_Sea,jordan,Jordan
Dead_Sea_scrolls,jordan,Jordan
Death_Valley_National_Park,,USA.
Decade_Volcanoes,russia,Russia
Deconstructivism,,None
Defaka,nigeria,Nigeria
Defense_of_Sihang_Warehouse,china,China
Definition_of_planet,,None
Deinonychus,,None
Deity,,None
Delhi,india,India
Deluge_%28mythology%29,iraq,Iraq
Demand_Note,united states,United States.
Democracy,,None
Democratic_Action_Party,malaysia,Malaysia
Democratic_Republic_of_the_Congo,,Democratic Republic of the Congo
Demosthenes,greece,Greece
Denis_Law,,Scotland.
Denmark,denmark,Denmark.
Dennis_Ritchie,united states,United States
Denver%2C_Colorado,united states,United States
Derby,,England
Desert,morocco,Morocco
Desert_locust,,Africa
Desmond_Tutu,south africa,South Africa
Despotism,,None
Detroit%2C_Michigan,united states,United States
Devonian,,England
Dewey_Square,,USA.
Diabetes_mellitus,,None
Diamond,australia,Australia
Diamond_cut,india,India
Diamond_simulant,,None
Diane_Keaton,,USA
Dice,,None
Dido_and_Aeneas,,England
Diego_Garcia,india,British Indian Ocean Territory.
Diego_Maradona,argentina,Argentina
Diego_Vel%C3%A1zquez,spain,Spain
Differential_equation,,None
Differential_geometry_and_topology,,None
Diffuse_interstellar_band,,None
Dik-dik,,None
Dill,india,India
Dilophosaurus,,USA
Dimetrodon,,None
Dingo,australia,Australia
Dinosaur,united states,United States
Diplodocus,united states,United States
Directdebit,united kingdom,United Kingdom
Directive_Principles_in_India,india,India
Disneyland_Railroad,united states,United States.
Distilled_beverage,spain,Spain
Dixie_Mission,united states,United States of America
Djibouti,djibouti,Djibouti
Dmitri_Mendeleev,russia,Russia
DNA,,None
DNA_repair,,None
Doctor_Who,united kingdom,United Kingdom
Dodo,mauritius,Mauritius
Dog,united kingdom,United Kingdom
Doha,qatar,Qatar
Dolphin,,None
Domesday_Book,,England
Domesticated_turkey,united states,United States.
Domestic_AC_power_plugs_and_sockets,australia,Australia
Domestic_goat,iran,Iran
Dominica,dominica,Dominica
Dominican_Republic,dominican republic,Dominican Republic.
Donald_Bradman,australia,Australia
Donald_Duck,united states,United States
Donald_Knuth,,USA
Donation,united kingdom,United Kingdom
Doom,united states,United States
Dorset,,England.
Double-decker_bus,united kingdom,United Kingdom
Double_bass,,None
Douglas_Adams,,England
Douglas_DC-4,united states,United States.
Dove,,None
Dover,,England
Down_syndrome,united kingdom,United Kingdom
Dr._Seuss,,USA.
Drama,china,China
Draughts,netherlands,Netherlands
Drawing,,None
Dresden,germany,Germany
Drinking_water,,None
Driving_on_the_left_or_right,united kingdom,United Kingdom
Drosera_anglica,japan,Japan
Drosophila_melanogaster,,None
Drought,australia,Australia
Drum_and_bass,,UK.
Dualism_%28philosophy_of_mind%29,,None
Dubai,united arab emirates,United Arab Emirates
Dublin,ireland,Ireland
Dubnium,russia,Russia
Duchenne_muscular_dystrophy,france,France
Dundee,,Scotland
Dundee_United_F.C.,,Scotland
Dune,china,China.
Dunnock,,None
Dunstable_Downs,,England
Duran_Duran,,England
Durham,,England.
Durham_Cathedral,,England
Durian,malaysia,Malaysia
Dutch_language,netherlands,Netherlands
Du_Fu,china,China
DVD,japan,Japan
Dwight_D._Eisenhower,,USA
Dysprosium,,None
E.T._the_Extra-Terrestrial_%28Atari_2600%29,united states,United States
E._E._Cummings,united states,United States
E._P._Wigner,hungary,Hungary
Eagle,,None
Eagle_Scout_%28Boy_Scouts_of_America%29,united states,United States
Earless_seal,argentina,Argentina
Earl_of_Shaftesbury,,England
Earth%27s_atmosphere,,None
Earth,,None
Earthquake,,None
Earwax,,None
East-West_Schism,,Byzantium.
EastEnders,united kingdom,United Kingdom
Eastern_Orthodox_Church,greece,Greece
Eastern_Roman_Empire,,Byzantium
Easter_Island,chile,Chile.
East_Africa,kenya,Kenya
East_Flemish,belgium,Belgium
East_Timor,timor-leste,timor-leste
Ebony,india,India
ECHELON,united kingdom,United Kingdom
Ecology,,None
Economics,,None
Economic_inequality,,None
Economy_of_Africa,,Africa
Economy_of_India,india,India
Economy_of_Pakistan,pakistan,Pakistan
Economy_of_Scotland,,Scotland
Economy_of_the_Iroquois,canada,Canada
Economy_of_the_Republic_of_Ireland,ireland,Ireland
Ecuador,ecuador,Ecuador
Edema,,None
Edgar_Allan_Poe,united states,United States
Edible_salt,china,China
Edinburgh,,Scotland
Edmond_Halley,,England
Edmonton,canada,Canada
Edmund_Burke,ireland,Ireland
Edmund_Hillary,new zealand,New Zealand
Education,afghanistan,Afghanistan
Educational_psychology,united states,United States
Education_in_the_United_States,united states,United States
Edward_Gibbon,,England
Edward_III_of_England,,England
Edward_II_of_England,,England
Edward_IV_of_England,,England
Edward_I_of_England,,England
Edward_Jenner,,England
Edward_Teller,,USA
Edward_the_Confessor,,England
Edward_VIII_of_the_United_Kingdom,united kingdom,United Kingdom
Edward_VII_of_the_United_Kingdom,united kingdom,United Kingdom
Edward_VI_of_England,,England
Edward_V_of_England,,England
Edwin_of_Northumbria,,England
Effects_of_global_warming,,None
Effects_of_nuclear_explosions,united states,United States
Effect_of_Hurricane_Katrina_on_New_Orleans,united states,United States
Egg_%28food%29,united states,United States
Egypt,egypt,Egypt
Egyptian_pyramids,egypt,Egypt
Eifel_Aqueduct,germany,Germany
Eilmer_of_Malmesbury,,England
Einsteinium,united states,United States
Elagabalus,syria,Syria
Eldfell,iceland,Iceland.
Election,italy,Italy
Electrical_engineering,united states,United States
Electrical_resistance,,None
Electricity,,None
Electric_charge,,None
Electric_field,,None
Electromagnetic_radiation,,None
Electron,france,France
Electronics,,None
Electronic_amplifier,,None
Electron_beam_welding,france,France
Elementary_algebra,,None
Elementary_arithmetic,,None
Elementary_group_theory,,None
Eleocharis_dulcis,china,China
Elephant,,Africa
Elephant_bird,madagascar,Madagascar
Elephant_shrew,,Africa
Elfin-woods_Warbler,puerto rico,Puerto Rico
Elias_Ashmole,,England
Eliminative_materialism,,None
Elizabethan_Poor_Law_%281601%29,,England
Elizabeth_Fry,,England
Elizabeth_II_of_the_United_Kingdom,united kingdom,United Kingdom
Elizabeth_I_of_England,,England
Elvis_Presley,,USA
El_Aai%C3%BAn,morocco,Morocco
El_Hatillo_Municipality%2C_Miranda,venezuela,Venezuela
El_Lissitzky,russia,Russia
El_Ni%C3%B1o-Southern_Oscillation,peru,Peru
El_Salvador,el salvador,El Salvador
Emacs,,None
Emanuel_Swedenborg,sweden,Sweden
EMD_BL2,united states,United States
EMD_F7,united states,United States
EMD_GP30,united states,United States
Emirate,united arab emirates,United Arab Emirates.
Emma_Roberts,united states,United States
Emotion,,None
Emperor_Penguin,antarctica,Antarctica
Empires__Dawn_of_the_Modern_World,united states,United States
Empiricism,,None
Employment,,None
Emu,australia,Australia
Enceladus_%28moon%29,,Saturn.
Encyclop%C3%A6dia_Britannica,united states,United States
Endoscopic_foreign_body_retrieval,canada,Canada
Energy,,None
Engineering,canada,Canada
England,,England
England_expects_that_every_man_will_do_his_duty,united kingdom,United Kingdom
English_Channel,france,France
English_language,,England
English_monarchs_family_tree,united kingdom,United Kingdom
English_peasants%27_revolt_of_1381,,England
English_poetry,,England
English_Reformation,,England
Enigma_machine,germany,Germany
Entropy,,None
Environmental_science,,None
Enzyme_kinetics,,None
Eocene,,None
Epaminondas,greece,Greece
Epazote,mexico,Mexico
Epic_of_Gilgamesh,,Babylonia is an ancient region in Mes
Episcopal_polity,,England
Equal_Protection_Clause,united states,United States.
Equatorial_Guinea,guinea,Guinea Ecuatorial (Equatorial Guinea)
Erbium,sweden,Sweden
Eric_Clapton,,England
Erie_Canal,united states,United States.
Eris_%28dwarf_planet%29,,None
Eritrea,eritrea,Eritrea
Ernest_Hemingway,united states,United States
Ernest_Rutherford,new zealand,New Zealand
Eruption_column,philippines,Philippines
Erwin_Rommel,germany,Germany
Eskimo,canada,Canada
Esox,,None
Esperanto,poland,Poland
Essential_oil,,None
Estonia,estonia,Estonia
Ethanol,,None
Ethics,,None
Ethiopia,ethiopia,Ethiopia
Ethiopian_Wolf,ethiopia,Ethiopia
Ethnic_group,china,China
Euclid,greece,Greece
Euclidean_geometry,greece,Greece
Eukaryote,,None
Euphrates,iraq,Iraq
Eurasian_Bullfinch,,None
Eurasian_Collared_Dove,,None
Eurasian_Eagle_Owl,,None
Eurasian_Jay,,None
Eurasian_Oystercatcher,,None
Euro,,None
Europe,,None
European_Goldfinch,,Europe.
European_Greenfinch,,Europe
European_Kingfisher,,None
European_Parliament,belgium,Belgium
European_Space_Agency,france,France
European_Union,denmark,Denmark.
Europium,france,France
Eurovision_Song_Contest,switzerland,Switzerland
Euston_Manifesto,united kingdom,United Kingdom
Eustreptospondylus,,England.
Evanton,,Scotland
Evan_Rachel_Wood,united states,United States
Eva_Per%C3%B3n,argentina,Argentina
Evolution,,None
Evolutionarily_stable_strategy,,None
Existentialism,,None
Exploration_of_Mars,russia,Russia
Explorer_I,united states,United States
Expressionism,germany,Germany
Extinction,,None
Extinct_birds,australia,Australia
Extrasolar_planet,,None
Extraterrestrial_life,,None
Eye,,Draco.
Eyelid,,None
Eye_%28cyclone%29,united states,United States
Ezra_Pound,united states,United States
F-35_Lightning_II,united states,United States
F-4_Phantom_II,united states,United States
FairTax,united states,United States
Fair_Isle,,Scotland
Falcon,united kingdom,United Kingdom.
Falkirk_Wheel,,Scotland
Falkland_Islands,falkland islands,Falkland Islands.
Family,burkina faso,Burkina Faso
Famine,china,China
Fanny_Blankers-Koen,netherlands,Netherlands.
Faroe_Islands,denmark,Denmark
Fascism,italy,Italy
Fashion,,None
Fatty_acid,,None
Fauna_of_Australia,australia,Australia
Feather,,None
Federal_Bureau_of_Investigation,united states,United States
Federated_States_of_Micronesia,micronesia,Micronesia
Fedora_Core,united states,United States
Fed_Cup,france,France
Feldspar,united states,United States
Felice_Beato,italy,Italy
Felix_Mendelssohn,germany,Germany
Felix_the_Cat,australia,Australia
Fencing,germany,Germany
Fennel,italy,Italy
Ferdinandea,italy,Italy
Ferdinand_Magellan,portugal,Portugal
Fermium,united states,United States
Fermi_paradox,,None
Fern,,None
Fertile_Crescent,iraq,Iraq
Fertilizer,,None
Fetal_alcohol_spectrum_disorder,united states,United States
Ffestiniog_Railway,,Wales
Fiberglass,,None
Fiction,,None
Fidel_Castro,cuba,Cuba
Fieldfare,,None
FIFA,switzerland,Switzerland
FIFA_World_Cup,germany,Germany.
Fiji,fiji,Fiji.
Film,united states,United States
Final_Fantasy_%28video_game%29,japan,Japan
Final_Fantasy_Adventure,japan,Japan
Finance,,None
Financial_statements,,None
Fine_art,,None
Finland,finland,Finland.
Fire,,None
Firearm,,None
Firecrest,,None
Firefly_%28TV_series%29,united states,United States
First_Council_of_Nicaea,turkey,Turkey
First_Crusade,france,France
First_Macedonian_War,,Macedon
First_Transcontinental_Railroad,united states,United States.
Fish,india,India
Fishing,india,India
Flag_of_Australia,australia,Australia
Flag_of_Belarus,belarus,Belarus.
Flag_of_Hong_Kong,,Hong Kong
Flag_of_India,india,India
Flag_of_Mexico,mexico,Mexico
Flag_of_South_Africa,south africa,South Africa
Flag_of_the_Republic_of_China,china,China
Flamingo,,None
Flanders,belgium,Belgium
Flat_Earth,,None
Flemish_%28linguistics%29,belgium,Belgium
Flemish_dialects,belgium,Belgium
Flemish_people,belgium,Belgium
Flood,,USA.
Floppy_disk,united kingdom,United Kingdom
Florence_Nightingale,,England
Florida,united states,United States.
Florida_East_Coast_Railway,united states,United States.
Floris_and_Blancheflour,spain,Spain
Flower,,None
Floyd_Mayweather_Jr.,united states,United States
Fluorine,,None
Flute,germany,Germany
FM_Consolidated_line,canada,Canada
Foie_gras,france,France
Folic_acid,united kingdom,United Kingdom
Folklore,,None
Folk_music,,None
Food,,None
Football,,England
Football_%28soccer%29,,England
Force,,None
Forensic_facial_reconstruction,united states,United States.
Forest,,England.
Formic_acid,,None
Formula_One,,None
Forrest_Gump,united states,United States
Forth,,Scotland
Forth_Bridge_%28railway%29,,Scotland
Forth_Road_Bridge,,Scotland
Fort_de_Chartres,,Illinois
Fossil,bolivia,Bolivia.
Fossil_fuel,united states,United States
Fossil_record,bolivia,Bolivia.
Fourteenth_Amendment_to_the_United_States_Constitution,united states,United States.
Fox,,England
Fr%C3%A9d%C3%A9ric_Chopin,poland,Poland
Fractal,,None
France,france,France
Frances_Oldham_Kelsey,united states,United States
France_in_the_American_Revolutionary_War,france,France.
Francisco_Goya,spain,Spain
Francis_Bacon,,England
Francis_Crick,,England
Francis_Drake,,England
Francis_of_Assisi,italy,Italy
Francis_Petre,new zealand,New Zealand
Francium,france,France
Frankenstein,,England
Frankfurt,germany,Germany
Franklin_B._Gowen,united states,United States.
Franklin_D._Roosevelt,,USA
Franklin_Pierce,,USA.
Franks,france,France
Frank_Lloyd_Wright,united states,United States.
Franz_Kafka,,Czech Republic
Franz_Schubert,austria,Austria
Frederick_Douglass,united states,United States
Frederick_Hamilton-Temple-Blackwood%2C_1st_Marquess_of_Dufferin_and_Ava,canada,Canada
Frederick_II%2C_Holy_Roman_Emperor,italy,Italy
Frederick_II_of_Prussia,russia,Prussia
Freetown,sierra leone,Sierra Leone.
French_Guiana,france,France
French_language,france,France
French_Open_%28tennis%29,france,France
French_Polynesia,french polynesia,French Polynesia.
French_Revolution,france,France
French_Southern_and_Antarctic_Lands,france,France
Fresh_water,,None
Friedrich_Nietzsche,germany,Germany
Friend_Directdebit,united kingdom,United Kingdom
Frog,australia,Australia
Fruit,spain,Spain
Fugu,japan,Japan
Full_moon,,None
Funchal,portugal,Portugal
Functional_programming,,None
Fundamental_Rights_in_India,india,India
Fundamental_theorem_of_arithmetic,,None
Fungus,,None
Fur_language,sudan,Sudan
Fusarium,,None
Fyodor_Dostoevsky,russia,Russia
Gabon,gabon,Gabon
Gaborone,botswana,Botswana
Gadolinium,finland,Finland
Gal%C3%A1pagos_Islands,ecuador,Ecuador
Galah,australia,Australia
Galaxy,,None
Galeras,colombia,Colombia
Galerina,,None
Galileo_Galilei,italy,Italy
Gallery_of_the_Kings_and_Queens_of_England,,England
Gallimimus,mongolia,Mongolia
Gallium,france,France
Galveston_Hurricane_of_1900,united states,United States.
Game,,None
Game_theory,,None
Ganesha,india,India
Ganges_River,india,India
Ganges_shark,india,India
Gangtok,india,India
Garage_%28dance_music%29,united kingdom,United Kingdom
Garden,italy,Italy
Gardening,,None
Garden_Gnome_Liberation_Front,italy,Italy
Gas,united states,United States
Gas_giant,,None
Gas_metal_arc_welding,united states,United States
Gas_tungsten_arc_welding,united states,United States
Gas_turbine-electric_locomotive,united states,United States
Gaur,india,India
Gauss%27s_law,germany,Germany
Gautama_Buddha,india,India
Gaza_Strip,,Palestine
Gazelle,,Africa
GDRT,ethiopia,Ethiopia
Gender,,None
Genealogy,,None
General_Pershing_Zephyr,united states,United States
Genetics,,England.
Genetic_code,,None
Geneva,switzerland,Switzerland.
Genghis_Khan,mongolia,Mongolia
Genoa,italy,Italy
Gentoo_penguin,,None
Geography,india,India
Geography_of_Africa,,Africa
Geography_of_India,india,India
Geography_of_Ireland,ireland,Ireland
Geography_of_Texas,united states,United States.
Geology,,England
Geology_of_Dorset,,England
Geology_of_the_Grand_Canyon_area,united states,United States
Geometry,,None
Georgetown%2C_Guyana,guyana,Guyana
George_Byron%2C_6th_Baron_Byron,,England
George_Eliot,,England
George_Fox,,England
George_H._W._Bush,,USA
George_Herbert,,Wales
George_III_of_the_United_Kingdom,united kingdom,United Kingdom
George_II_of_Great_Britain,,Great Britain.
George_IV_of_the_United_Kingdom,united kingdom,United Kingdom
George_I_of_Great_Britain,,Great Britain.
George_Thomas_Coker,united states,United States
George_VI_of_the_United_Kingdom,united kingdom,United Kingdom
George_V_of_the_United_Kingdom,united kingdom,United Kingdom
George_W._Bush,,USA.
George_Washington,,USA
Georgia_%28country%29,georgia,Georgia
Georg_Cantor,germany,Germany
Georg_Forster,germany,Germany
Georg_von_Boeselager,germany,Germany
Gerald_Durrell,jersey,Jersey
Gerald_Ford,,USA.
Germanium,germany,Germany
Germany,germany,Germany
German_Crusade%2C_1096,germany,Germany
German_language,germany,Germany
German_reunification,germany,Germany
Gettysburg_Address,united states,United States
Ghana,ghana,Ghana
Ghost_Dance,,USA.
Giant%27s_Causeway,ireland,Ireland
Giant_Eland,central african republic,Central African Republic
Giant_Hogweed,,None
Giant_Panda,china,China
Gibraltar,gibraltar,Gibraltar
Giganotosaurus,argentina,Argentina
Gilles_Villeneuve,canada,Canada
Giraffe,south africa,South Africa.
Giuseppe_Verdi,italy,Italy
Giza_pyramid_complex,egypt,Egypt.
Glacier,switzerland,Switzerland.
Glacier_National_Park_%28US%29,,USA.
Glaciology,switzerland,Switzerland.
Glasgow,,Scotland
Glass,france,France
Glasses,italy,Italy
Glastonbury_Festival,,England.
GlaxoSmithKline,united kingdom,United Kingdom
Gliding,germany,Germany
Gliese_876,,None
Gliese_876_b,,None
Gliese_876_c,,None
Gliese_876_d,,None
Global,,None
Globalization,,None
Global_city,united kingdom,United Kingdom
Global_spread_of_H5N1,china,China
Global_warming,,None
Globe_Theatre,,England
Globular_cluster,,None
Glorious_Revolution,,England
Glynn_Lunney,united states,United States
Gmail,united states,United States
GNOME,,None
GNU,,USA
GNU_Linux_naming_controversy,united states,United States
GNU_Project,,None
Goa,india,India
God,israel,Israel
Gold%28III%29_chloride,,None
Gold,,None
Goldcrest,luxembourg,Luxembourg
Golden_Eagle,,None
Golden_Gate_Highlands_National_Park,south africa,South Africa
Goldfish,china,China
Gold_standard,united kingdom,United Kingdom
Goleta%2C_California,united states,United States
Gone_with_the_Wind_%28film%29,united states,United States
Google,united states,United States.
Goose,canada,Canada
Gordon_Brown,united kingdom,United Kingdom
Gordon_Griffith,united states,United States
Gorilla,uganda,Uganda
Gossypium,australia,Australia
Gothenburg,sweden,Sweden
Gottfried_Leibniz,germany,Germany
Government,france,France.
Government_of_France,france,France.
Gowanus_Canal,,USA.
Go_%28board_game%29,china,China
Grand_Canal_of_China,china,China
Grand_Canyon,united states,United States.
Grand_Central_Station_%28Chicago%29,united states,United States.
Grand_Central_Terminal,united states,United States
Grand_Forks%2C_North_Dakota,,North Dakota
Grand_Slam_%28tennis%29,australia,Australia
Grange_Hill,united kingdom,United Kingdom
Granite,united states,United States.
Graniteville_train_disaster,united states,United States.
Grape_seed_oil,italy,Italy
Graphic_novel,united states,United States.
Gravitation,,None
Gray_reef_shark,australia,Australia
Gray_Wolf,,None
Grease_%28film%29,united states,United States
Greater_Cane_Rat,,Africa
Great_Auk,canada,Canada
Great_Barrier_Reef,australia,Australia
Great_Black-backed_Gull,,None
Great_Britain,,Great Britain.
Great_Bustard,hungary,Hungary
Great_comet,,None
Great_Comet_of_1882,south africa,South Africa
Great_Cormorant,,None
Great_Crested_Grebe,,Europe
Great_hammerhead,,None
Great_Lakes,united states,United States.
Great_Lakes_Storm_of_1913,united states,United States
Great_Moravia,,Czech Republic
Great_Pyramid_of_Giza,egypt,Egypt
Great_Red_Spot,,Jupiter
Great_Rift_Valley,mozambique,Mozambique
Great_Salt_Lake,,Utah
Great_Spotted_Woodpecker,,None
Great_Tit,,None
Great_Wall_of_China,china,China
Great_white_shark,south africa,South Africa
Great_Yarmouth,,England.
Greco-Buddhism,afghanistan,Afghanistan.
Greece,greece,Greece
Greek_mythology,greece,Greece
Greek_War_of_Independence,greece,Greece
Greenhouse_effect,,Earth.
Greenland,denmark,Denmark.
Green_Woodpecker,,Europe
Gregorian_chant,finland,Finland
Gregor_Mendel,,Czech Republic
Greg_LeMond,united states,United States
Gremlins,,USA
Grenada,grenada,Grenada
Grevy%27s_Zebra,kenya,Kenya
Group_%28mathematics%29,,None
Grover_Cleveland,,USA
Guadeloupe,guadeloupe,Guadeloupe
Guam,guam,Guam.
Guangzhou,china,China
Guatemala,guatemala,Guatemala.
Guernsey,guernsey,Guernsey.
Guglielmo_Marconi,italy,Italy
Guild,india,India
Guinea-Bissau,guinea-bissau,Guinea-Bissau
Guinea,guinea,Guinea
Guinness,ireland,Ireland
Guitar,italy,Italy
Gulf_of_Mexico,mexico,Mexico
Gull,,None
Gunpowder,china,China
